Visitor/Neutral,PTS,Win,Home/Neutral,PTS,Win,Visitor Seed,Home Seed,Year,,,,
Indiana Pacers,79,TRUE,Philadelphia 76ers,78,FALSE,8,1,2001,,,,
Dallas Mavericks,86,FALSE,Utah Jazz,88,TRUE,5,4,2001,,,,
Minnesota Timberwolves,82,FALSE,San Antonio Spurs,87,TRUE,8,1,2001,,,,
Charlotte Hornets,106,TRUE,Miami Heat,80,FALSE,6,3,2001,,,,
Toronto Raptors,85,FALSE,New York Knicks,92,TRUE,5,4,2001,,,,
Phoenix Suns,86,TRUE,Sacramento Kings,83,FALSE,6,3,2001,,,,
Portland Trail Blazers,93,FALSE,Los Angeles Lakers,106,TRUE,7,2,2001,,,,
Orlando Magic,90,FALSE,Milwaukee Bucks,103,TRUE,7,2,2001,,,,
Charlotte Hornets,102,TRUE,Miami Heat,76,FALSE,6,3,2001,,,,
Minnesota Timberwolves,69,FALSE,San Antonio Spurs,86,TRUE,8,1,2001,,,,
Indiana Pacers,98,FALSE,Philadelphia 76ers,116,TRUE,8,1,2001,,,,
Dallas Mavericks,98,FALSE,Utah Jazz,109,TRUE,5,4,2001,,,,
Orlando Magic,96,FALSE,Milwaukee Bucks,103,TRUE,7,2,2001,,,,
Phoenix Suns,90,FALSE,Sacramento Kings,116,TRUE,6,3,2001,,,,
Toronto Raptors,94,TRUE,New York Knicks,74,FALSE,5,4,2001,,,,
Portland Trail Blazers,88,FALSE,Los Angeles Lakers,106,TRUE,7,2,2001,,,,
Miami Heat,79,FALSE,Charlotte Hornets,94,TRUE,3,6,2001,,,,
Philadelphia 76ers,92,TRUE,Indiana Pacers,87,FALSE,1,8,2001,,,,
Utah Jazz,91,FALSE,Dallas Mavericks,94,TRUE,4,5,2001,,,,
San Antonio Spurs,84,FALSE,Minnesota Timberwolves,93,TRUE,1,8,2001,,,,
Milwaukee Bucks,116,FALSE,Orlando Magic,121,TRUE,2,7,2001,,,,
New York Knicks,97,TRUE,Toronto Raptors,89,FALSE,4,5,2001,,,,
Sacramento Kings,104,TRUE,Phoenix Suns,96,FALSE,3,6,2001,,,,
Los Angeles Lakers,99,TRUE,Portland Trail Blazers,86,FALSE,2,7,2001,,,,
San Antonio Spurs,97,TRUE,Minnesota Timberwolves,84,FALSE,1,8,2001,,,,
Milwaukee Bucks,112,TRUE,Orlando Magic,104,FALSE,2,7,2001,,,,
Utah Jazz,77,FALSE,Dallas Mavericks,107,TRUE,4,5,2001,,,,
New York Knicks,93,FALSE,Toronto Raptors,100,TRUE,4,5,2001,,,,
Philadelphia 76ers,88,TRUE,Indiana Pacers,85,FALSE,1,8,2001,,,,
Sacramento Kings,89,TRUE,Phoenix Suns,82,FALSE,3,6,2001,,,,
Dallas Mavericks,84,TRUE,Utah Jazz,83,FALSE,5,4,2001,,,,
Toronto Raptors,93,TRUE,New York Knicks,89,FALSE,5,4,2001,,,,
Dallas Mavericks,78,FALSE,San Antonio Spurs,94,TRUE,5,1,2001,,,,
Charlotte Hornets,92,FALSE,Milwaukee Bucks,104,TRUE,6,2,2001,,,,
Sacramento Kings,105,FALSE,Los Angeles Lakers,108,TRUE,3,2,2001,,,,
Toronto Raptors,96,TRUE,Philadelphia 76ers,93,FALSE,5,1,2001,,,,
Dallas Mavericks,86,FALSE,San Antonio Spurs,100,TRUE,5,1,2001,,,,
Charlotte Hornets,90,FALSE,Milwaukee Bucks,91,TRUE,6,2,2001,,,,
Sacramento Kings,90,FALSE,Los Angeles Lakers,96,TRUE,3,2,2001,,,,
Toronto Raptors,92,FALSE,Philadelphia 76ers,97,TRUE,5,1,2001,,,,
San Antonio Spurs,104,TRUE,Dallas Mavericks,90,FALSE,1,5,2001,,,,
Milwaukee Bucks,92,FALSE,Charlotte Hornets,102,TRUE,2,6,2001,,,,
Philadelphia 76ers,78,FALSE,Toronto Raptors,102,TRUE,1,5,2001,,,,
Los Angeles Lakers,103,TRUE,Sacramento Kings,81,FALSE,2,3,2001,,,,
San Antonio Spurs,108,FALSE,Dallas Mavericks,112,TRUE,1,5,2001,,,,
Milwaukee Bucks,78,FALSE,Charlotte Hornets,85,TRUE,2,6,2001,,,,
Philadelphia 76ers,84,TRUE,Toronto Raptors,79,FALSE,1,5,2001,,,,
Los Angeles Lakers,119,TRUE,Sacramento Kings,113,FALSE,2,3,2001,,,,
Dallas Mavericks,87,FALSE,San Antonio Spurs,105,TRUE,5,1,2001,,,,
Charlotte Hornets,94,TRUE,Milwaukee Bucks,86,FALSE,6,2,2001,,,,
Toronto Raptors,88,FALSE,Philadelphia 76ers,121,TRUE,5,1,2001,,,,
Milwaukee Bucks,104,TRUE,Charlotte Hornets,97,FALSE,2,6,2001,,,,
Philadelphia 76ers,89,FALSE,Toronto Raptors,101,TRUE,1,5,2001,,,,
Los Angeles Lakers,104,TRUE,San Antonio Spurs,90,FALSE,2,1,2001,,,,
Charlotte Hornets,95,FALSE,Milwaukee Bucks,104,TRUE,6,2,2001,,,,
Toronto Raptors,87,FALSE,Philadelphia 76ers,88,TRUE,5,1,2001,,,,
Los Angeles Lakers,88,TRUE,San Antonio Spurs,81,FALSE,2,1,2001,,,,
Milwaukee Bucks,85,FALSE,Philadelphia 76ers,93,TRUE,2,1,2001,,,,
Milwaukee Bucks,92,TRUE,Philadelphia 76ers,78,FALSE,2,1,2001,,,,
San Antonio Spurs,72,FALSE,Los Angeles Lakers,111,TRUE,1,2,2001,,,,
Philadelphia 76ers,74,FALSE,Milwaukee Bucks,80,TRUE,1,2,2001,,,,
San Antonio Spurs,82,FALSE,Los Angeles Lakers,111,TRUE,1,2,2001,,,,
Philadelphia 76ers,89,TRUE,Milwaukee Bucks,83,FALSE,1,2,2001,,,,
Milwaukee Bucks,88,FALSE,Philadelphia 76ers,89,TRUE,2,1,2001,,,,
Philadelphia 76ers,100,FALSE,Milwaukee Bucks,110,TRUE,1,2,2001,,,,
Milwaukee Bucks,91,FALSE,Philadelphia 76ers,108,TRUE,2,1,2001,,,,
Philadelphia 76ers,107,TRUE,Los Angeles Lakers,101,FALSE,1,2,2001,,,,
Philadelphia 76ers,89,FALSE,Los Angeles Lakers,98,TRUE,1,2,2001,,,,
Los Angeles Lakers,96,TRUE,Philadelphia 76ers,91,FALSE,2,1,2001,,,,
Los Angeles Lakers,100,TRUE,Philadelphia 76ers,86,FALSE,2,1,2001,,,,
Los Angeles Lakers,108,TRUE,Philadelphia 76ers,96,FALSE,2,1,2001,,,,

