Visitor/Neutral,PTS,Win,Home/Neutral,PTS.1,Win.1,Visitor Seed,Home Seed,Year,Visitor_id,Visitor win_pct,Visitor off_rtg,Visitor def_rtg,Visitor net_rtg,Visitor pace,Visitor efg_pct,Visitor ts_pct,Visitor tov_pct,Visitor orb_pct,Visitor drb_pct,Home_id,Home win_pct,Home off_rtg,Home def_rtg,Home net_rtg,Home pace,Home efg_pct,Home ts_pct,Home tov_pct,Home orb_pct,Home drb_pct
Indiana Pacers,79,1,Philadelphia 76ers,78,0,8,1,2001,1610612754.0,0.61,115.4,113.3,2.1,100.76,0.562,0.594,0.13,0.254,0.705,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678
Dallas Mavericks,86,0,Utah Jazz,88,1,5,4,2001,1610612742.0,0.476,113.7,115.0,-1.3,100.15,0.549,0.583,0.14,0.271,0.694,1610612762.0,0.207,110.2,119.4,-9.2,100.85,0.533,0.568,0.17,0.311,0.705
Minnesota Timberwolves,82,0,San Antonio Spurs,87,1,8,1,2001,1610612750.0,0.598,115.7,110.8,5.0,97.95,0.554,0.588,0.146,0.3,0.709,1610612759.0,0.415,113.5,116.3,-2.8,100.08,0.544,0.575,0.138,0.278,0.69
Charlotte Hornets,106,1,Miami Heat,80,0,6,3,2001,1610612766.0,0.232,106.7,115.7,-9.1,98.22,0.503,0.537,0.157,0.308,0.705,1610612748.0,0.451,112.4,112.0,0.4,97.08,0.544,0.576,0.138,0.263,0.724
Toronto Raptors,85,0,New York Knicks,92,1,5,4,2001,1610612761.0,0.366,109.6,113.6,-4.1,100.62,0.522,0.553,0.152,0.311,0.696,1610612752.0,0.622,117.3,113.3,4.0,97.64,0.556,0.589,0.134,0.305,0.71
Phoenix Suns,86,1,Sacramento Kings,83,0,6,3,2001,1610612756.0,0.439,114.7,117.7,-3.0,98.31,0.561,0.595,0.142,0.264,0.709,1610612758.0,0.488,115.9,115.3,0.6,98.91,0.548,0.582,0.133,0.294,0.728
Portland Trail Blazers,93,0,Los Angeles Lakers,106,1,7,2,2001,1610612757.0,0.439,111.0,113.7,-2.7,99.51,0.521,0.555,0.16,0.332,0.682,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702
Orlando Magic,90,0,Milwaukee Bucks,103,1,7,2,2001,1610612753.0,0.5,108.9,109.1,-0.2,96.51,0.51,0.55,0.147,0.302,0.72,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725
Charlotte Hornets,102,1,Miami Heat,76,0,6,3,2001,1610612766.0,0.232,106.7,115.7,-9.1,98.22,0.503,0.537,0.157,0.308,0.705,1610612748.0,0.451,112.4,112.0,0.4,97.08,0.544,0.576,0.138,0.263,0.724
Minnesota Timberwolves,69,0,San Antonio Spurs,86,1,8,1,2001,1610612750.0,0.598,115.7,110.8,5.0,97.95,0.554,0.588,0.146,0.3,0.709,1610612759.0,0.415,113.5,116.3,-2.8,100.08,0.544,0.575,0.138,0.278,0.69
Indiana Pacers,98,0,Philadelphia 76ers,116,1,8,1,2001,1610612754.0,0.61,115.4,113.3,2.1,100.76,0.562,0.594,0.13,0.254,0.705,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678
Dallas Mavericks,98,0,Utah Jazz,109,1,5,4,2001,1610612742.0,0.476,113.7,115.0,-1.3,100.15,0.549,0.583,0.14,0.271,0.694,1610612762.0,0.207,110.2,119.4,-9.2,100.85,0.533,0.568,0.17,0.311,0.705
